m_name,m_surname,m_email,m_birth_year,m_birth_month,m_birth_day,m_group,m_rating,m_phone_number
Євгенія,Іваненко,yevheniya.ivanenko3@student.org,1957,1,27,AHH-67,53.72,38(093)32-59-390
Євгенія,Іваненко,yevheniya.ivanenko13@student.org,2007,12,28,PPK-58,2.21,38(050)63-91-296
Євгенія,Іваненко,yevheniya.ivanenko15@student.org,1967,6,29,AJS-23,94.65,38(095)69-24-427
Євгенія,Іваненко,yevheniya.ivanenko38@student.org,1996,6,16,CZV-59,15.27,38(073)63-51-629
Євгенія,Іваненко,yevheniya.ivanenko39@student.org,2002,3,23,ZIZ-17,28.29,38(063)34-72-437
Євгенія,Іваненко,yevheniya.ivanenko11@student.org,1983,3,25,SHY-12,92.04,38(050)38-28-569
Євгенія,Іваненко,yevheniya.ivanenko4@student.org,1993,9,8,EYJ-24,71.92,38(093)69-17-907
Євгенія,Іваненко,yevheniya.ivanenko25@student.org,1960,3,2,EDF-72,35.6,38(066)77-69-477
Євгенія,Іваненко,yevheniya.ivanenko20@student.org,1950,9,19,TDI-82,77.14,38(099)56-81-595
Євгенія,Іваненко,yevheniya.ivanenko35@student.org,2009,9,23,KBB-59,56.71,38(068)53-56-971
Євгенія,Іваненко,yevheniya.ivanenko24@student.org,1961,9,6,ZKX-53,33.39,38(063)32-84-377
Євгенія,Іваненко,yevheniya.ivanenko14@student.org,1976,10,25,LOQ-90,50.5,38(066)32-70-478
Євгенія,Іваненко,yevheniya.ivanenko40@student.org,1963,1,14,NEE-22,6.61,38(066)73-88-381
Євгенія,Іваненко,yevheniya.ivanenko7@student.org,1970,3,8,SJN-55,55.2,38(093)32-71-406
Євгенія,Іваненко,yevheniya.ivanenko8@student.org,1960,7,5,SQA-42,2.68,38(098)99-94-650
Євгенія,Іваненко,yevheniya.ivanenko@student.org,2004,5,29,ZGR-70,98.42,38(096)93-60-210
Євгенія,Іваненко,yevheniya.ivanenko22@student.org,2001,12,24,AAO-20,12.46,38(068)72-23-746
Євгенія,Іваненко,yevheniya.ivanenko33@student.org,1952,6,16,KBI-65,37.58,38(067)87-37-212
Євгенія,Іваненко,yevheniya.ivanenko16@student.org,1975,10,23,AKO-66,9.39,38(093)91-72-469
